TEMP,HUM_AIRE,HUM_SUELO_1,HUM_SUELO_2,LUZ,GAS,RIEGO_1,RIEGO_2
28,55,40,50,400,120,1,0
32,60,38,48,600,140,0,1
25,58,41,52,350,110,0,0
35,63,39,47,700,160,1,0
30,61,45,53,300,100,1,0
31,59,44,49,650,150,0,1
27,62,43,54,450,130,0,0
29,64,48,46,500,125,1,1
34,60,47,55,750,170,1,0
26,57,46,45,250,95,0,0
33,65,50,56,800,180,0,0
30,66,49,44,420,135,1,1
28,62,45,57,410,128,1,0
36,61,44,43,390,122,0,1
25,68,43,58,900,190,0,0
29,64,42,42,300,90,1,0
31,63,41,59,280,115,1,0
27,70,40,41,760,175,0,1
32,67,39,60,440,138,0,0
24,66,38,40,430,132,1,1
30,65,37,55,850,185,1,0
35,60,36,45,260,88,0,0
28,59,40,54,520,145,0,0
26,58,41,46,610,155,1,1
33,62,42,53,330,105,1,0
29,64,43,47,690,165,0,1
25,69,44,52,470,118,0,0
34,65,45,48,560,158,1,0
27,63,46,51,390,112,1,0
31,67,47,49,720,172,0,1
$
